SchoolID,TotalExpenses
169521,91731508
169798,373949279
169910,244755435
169974,15481126
169992,11254529
170055,133615067
170082,512398326
170240,109814700
170444,48194601
170541,86481168
170550,52973379
170587,17274612
170620,44875806
170639,54175789
170657,130486585
170790,164836355
170976,12424128000
171100,3027225440
171128,300405295
171137,169604000
171146,134726000
171155,27874196
171225,31725190
171234,20103196
171304,46775191
171395,21762346
171456,190553492
171483,62180918
171535,160738656
171571,356892059
172051,142759411
172200,115544007
172291,36856944
172307,26958815
172422,
172617,125156946
172635,128871332
172644,925829000
172671,18948133
172699,505240446
172918,27669000
172954,19930000
172963,60837000
173063,30910000
173115,9911000
173124,81009000
173203,41944000
173416,36224000
173461,40294000
173559,49679000
173638,30972000
173708,50691000
173735,53051000
173799,32284000
173911,36686000
173920,267362000
174020,95099000
174066,3682010227
174075,40409538
174136,65955000
174233,248691469
174251,50010051
174358,91722000
174376,45844000
174428,81617000
174473,31002000
174570,14179000
174738,48672000
174756,39530000
174783,176792000
175041,58976000
175078,57715000
175236,38718000
175263,18835000
175272,134982000
175315,80398000
175342,84630780
175519,35506556
175573,48381353
175616,74081284
175643,36585448
175652,48286819
175786,181043407
175810,70681460
175829,59863784
175856,196195629
175883,56104707
175935,42003965
175999,79552399
176008,34301183
176017,2522958161
176035,63748154
176044,62267990
176071,120172720
176080,929135153
176169,66864483
176178,75239758
176239,84765047
176354,33864729
176372,373218174
176798,
176965,225435139
176983,
177135,46441732
177250,29238094
177436,
177472,96642379
177551,49675270
177676,44350864
177940,66338354
177977,52203964
177995,127047633
178217,26636289
178341,71343818
178387,64259682
178396,3184604219
178402,472667209
178411,249496295
178420,242432382
178439,92522215
178448,34119894
178615,99237449
178624,131886197
178828,
179308,193109548
179344,16391852
179539,46592346
179557,173879003
179566,383457396
179645,24470813
179715,25695281
180151,10541072
180160,10263091
180179,63487657
180197,33856763
180203,10540097
180212,13181299
180249,16227709
180276,13328578
180328,12071066
180373,11173398
180416,65498729
180461,625486321
180489,404381565
180522,24793051
180692,30977364
180902,90403700
180948,45858873
181215,124223823
181303,165146435
181312,36010956
181394,312449036
181419,8661965
181428,738922503
181464,1205842444
181491,67352858
181534,28680890
181640,134575648
181747,52930755
181765,8213808
181783,66969990
181817,35666432
182005,251867000
182281,920612000
182290,836784547
182306,32926000
182500,78803000
182519,45128000
182564,33006000
182829,17340998
183044,680717770
183062,95024291
183071,19605777
183080,95896165
183099,34809276
183105,11431505
183114,11942737
183123,11946194
183132,26682903
183141,17058702
183150,19292625
183257,15415702
183327,21656538
183655,52001688
183743,143264832
183859,110296389
183877,53630656
183938,87487500
183983,
184180,71571787
184205,26918663
184481,89622522
184782,747740303
184791,57098305
184995,88227653
185129,148456282
185262,317538735
185509,84227756
185536,100059053
185590,515564000
185828,480573000
185873,81860481
186034,75316196
186201,162883000
186371,261008000
186380,4016884000
186399,489786000
186469,17035018
186645,61609103
186876,249732522
187046,70414961
187134,261068000
187198,94947342
187444,200632906
187532,200376466
187596,45417910
187620,
187639,23735592
187648,82218939
187666,26978587
187745,30074584
187897,105582301
187903,44478159
187912,24064958
187958,
187967,204019122
187976,
187985,3069062910
187994,
188003,17234291
188021,
188030,613999036
188049,
188058,33010380
188100,81806814
188137,50536825
188216,
188225,
188261,12724115
188304,71575690
188438,51424422
189547,53655510
189839,34927311
190035,355430869
190053,11260145
190169,21099438
190442,35705211
190512,346753871
190521,396973683
190530,198125719
190549,305446997
190558,212955079
190567,552675408
190576,450871167
190585,142259680
190594,428888250
190600,344761197
190619,196603322
190628,261497652
190637,272838845
190646,136662413
190655,261082216
190664,348169565
190673,191784063
190682,41074706
190691,141553422
190840,74915320
191083,84648794
191126,226532612
191199,57714540
191302,20543452
191339,42156333
191612,28991406
191719,118930901
191986,42725166
192022,48454049
193283,70748577
193326,149724676
193478,229953038
193946,36871737
194028,16337531
194222,70461085
194240,76620507
194259,
195058,79567782
195322,32752361
195827,391729982
195988,20086095
196006,95675909
196015,75953379
196024,74274181
196033,78157553
196042,192225583
196051,79710355
196060,584492704
196079,658565929
196088,1270172967
196097,3502234403
196103,115221976
196112,393352582
196121,191656652
196130,225940974
196149,177178885
196158,122519705
196167,138878942
196176,193747906
196185,157233510
196194,204845407
196200,104413656
196219,148860723
196228,66118966
196237,110042453
196246,139387618
196255,762893998
196264,130890623
196291,72580382
196307,2034863927
196565,30818642
196699,28922649
197027,
197036,
197294,128507153
197814,26159822
197850,29481934
197869,509921064
197887,61535009
197966,21155606
198011,15583699
198039,33512137
198084,23827320
198118,43104485
198154,99327050
198206,23268230
