SchoolID,GraduateEnrollment,GraduatePercentWhite,GraduatePercentBlack,GraduatePercentHispanic,GraduatePercentAsian,GraduatePercentNative,GraduatePercentHawaiian,GraduatePercentMixed,GraduatePercent2Plus,GraduatePercentUnknown,GraduatePercentWomen
115658,0,,,,,,,,,,
115728,328,28,26,21,14,14,0,1,1,5,79
115746,871,57,4,12,2,2,1,0,4,18,78
115755,653,53,2,21,3,3,0,2,6,12,66
115773,146,47,8,27,10,7,3,0,0,8,66
115861,0,,,,,,,,,,
115931,0,,,,,,,,,,
116226,8,63,13,13,13,13,0,0,0,0,88
116350,0,,,,,,,,,,
116439,0,,,,,,,,,,
116563,0,,,,,,,,,,
116712,732,42,10,14,8,7,1,0,2,21,74
116846,100,9,0,2,2,2,0,0,1,86,64
117052,0,,,,,,,,,,
117104,89,54,4,13,2,2,0,11,2,0,39
117140,2915,20,7,39,7,6,0,0,2,12,68
117168,53,45,2,15,6,6,0,0,4,17,45
117195,0,,,,,,,,,,
117238,0,,,,,,,,,,
117247,0,,,,,,,,,,
117274,0,,,,,,,,,,
117520,637,46,3,8,20,18,2,1,9,4,44
117557,481,1,0,0,2,2,0,0,0,0,43
117575,147,36,16,10,20,19,1,1,4,3,44
117627,514,26,11,30,7,6,1,1,2,2,67
117636,3256,32,7,19,27,27,0,0,5,0,62
117645,0,,,,,,,,,,
117672,557,45,3,15,20,19,0,0,10,6,44
117690,0,,,,,,,,,,
117706,0,,,,,,,,,,
117715,0,,,,,,,,,,
117724,0,,,,,,,,,,
117733,0,,,,,,,,,,
117751,670,46,5,23,11,11,0,0,1,3,16
117788,0,,,,,,,,,,
117803,0,,,,,,,,,,
117867,0,,,,,,,,,,
117894,0,,,,,,,,,,
117946,3138,40,7,28,10,10,0,0,4,1,62
117955,0,,,,,,,,,,
118134,0,,,,,,,,,,
118143,0,,,,,,,,,,
118161,0,,,,,,,,,,
118189,0,,,,,,,,,,
118198,0,,,,,,,,,,
118347,0,,,,,,,,,,
118541,26,12,15,38,4,4,0,0,0,4,54
118684,0,,,,,,,,,,
118693,0,,,,,,,,,,
118718,0,,,,,,,,,,
118772,0,,,,,,,,,,
118888,489,45,13,18,9,9,0,1,7,3,77
118912,0,,,,,,,,,,
118930,0,,,,,,,,,,
118958,0,,,,,,,,,,
118976,0,,,,,,,,,,
118994,0,,,,,,,,,,
119058,665,39,3,9,7,7,0,0,3,6,67
119067,0,,,,,,,,,,
119137,0,,,,,,,,,,
119164,0,,,,,,,,,,
119173,609,19,7,50,10,9,1,0,2,12,80
119216,0,,,,,,,,,,
119270,0,,,,,,,,,,
119331,0,,,,,,,,,,
119553,0,,,,,,,,,,
119605,9195,38,8,29,8,7,1,0,4,12,68
119678,2737,67,6,8,7,7,0,0,0,7,20
119775,135,37,9,19,10,10,0,0,5,4,35
119845,0,,,,,,,,,,
119951,0,,,,,,,,,,
120069,0,,,,,,,,,,
120078,0,,,,,,,,,,
120087,0,,,,,,,,,,
120184,621,38,5,21,18,16,2,0,4,9,76
120254,0,,,,,,,,,,
120290,0,,,,,,,,,,
120342,0,,,,,,,,,,
120403,58,41,10,0,10,10,0,0,3,19,71
120421,0,,,,,,,,,,
120537,510,50,7,16,10,9,1,1,7,8,62
120661,0,,,,,,,,,,
120698,969,50,4,11,9,9,0,0,17,5,80
120768,635,23,18,42,8,7,1,0,4,6,88
120795,95,55,14,5,13,4,8,0,3,3,58
120838,56,0,0,0,0,0,0,0,0,0,54
120865,4,100,0,0,0,0,0,0,0,0,75
120883,2792,33,4,14,35,35,0,0,5,5,60
120953,0,,,,,,,,,,
120971,0,,,,,,,,,,
121044,0,,,,,,,,,,
121150,4334,38,10,13,10,9,0,0,3,12,64
121257,0,,,,,,,,,,
121275,0,,,,,,,,,,
121309,1457,46,4,33,5,4,1,0,5,4,72
121345,0,,,,,,,,,,
121363,0,,,,,,,,,,
121433,0,,,,,,,,,,
121619,0,,,,,,,,,,
121628,110,42,1,6,11,11,0,0,3,2,47
121637,0,,,,,,,,,,
121691,1584,32,1,39,14,7,7,0,3,7,61
121707,0,,,,,,,,,,
121859,0,,,,,,,,,,
121868,0,,,,,,,,,,
121886,0,,,,,,,,,,
121901,0,,,,,,,,,,
121992,0,,,,,,,,,,
122117,93,12,1,2,38,38,0,0,3,0,56
122180,0,,,,,,,,,,
122205,0,,,,,,,,,,
122296,1211,29,6,18,35,34,1,0,5,4,71
122339,0,,,,,,,,,,
122375,0,,,,,,,,,,
122384,0,,,,,,,,,,
122409,4717,38,3,28,10,10,0,0,4,6,62
122436,3218,48,5,20,11,10,0,0,4,6,61
122454,106,39,2,6,8,8,1,1,3,8,72
122506,177,34,3,2,14,14,0,0,4,3,52
122597,3247,35,4,19,20,19,0,0,5,8,66
122603,101,39,20,6,6,6,0,0,0,1,40
122612,4009,32,7,20,17,16,1,0,5,5,65
122649,169,38,2,43,12,12,1,4,0,1,55
122658,0,,,,,,,,,,
122685,0,,,,,,,,,,
122728,438,41,4,7,5,4,1,0,3,5,54
122746,0,,,,,,,,,,
122755,8073,30,2,15,16,16,0,0,3,7,61
122791,0,,,,,,,,,,
122834,0,,,,,,,,,,
122852,0,,,,,,,,,,
122889,0,,,,,,,,,,
122931,3122,27,2,13,19,19,0,0,5,5,53
122977,0,,,,,,,,,,
123013,0,,,,,,,,,,
123095,687,51,13,11,4,3,0,1,7,11,77
123165,19,53,5,11,26,26,0,0,5,0,47
123217,0,,,,,,,,,,
123280,14,71,7,7,14,14,0,0,0,0,64
123299,0,,,,,,,,,,
123341,0,,,,,,,,,,
123350,0,,,,,,,,,,
123448,308,29,29,24,8,8,0,0,6,4,65
123457,114,56,1,9,7,6,1,0,1,24,49
123484,0,,,,,,,,,,
123493,0,,,,,,,,,,
123509,0,,,,,,,,,,
123527,0,,,,,,,,,,
123554,1086,42,9,16,9,8,1,0,3,18,70
123563,0,,,,,,,,,,
123572,777,55,2,17,6,6,0,0,4,12,72
123633,410,7,1,2,86,86,0,1,1,1,60
123642,0,,,,,,,,,,
123651,321,48,2,31,11,10,0,0,4,2,76
123679,0,,,,,,,,,,
123800,0,,,,,,,,,,
123855,106,19,1,36,25,25,0,0,2,5,3
123916,86,79,12,5,0,0,0,0,2,2,74
123943,681,30,3,7,49,49,0,0,5,5,66
123952,251,25,2,6,4,4,0,0,1,1,37
123961,27403,25,6,15,14,14,0,0,2,6,56
123970,734,47,6,27,8,8,0,0,5,4,55
124113,0,,,,,,,,,,
124283,385,41,16,6,16,11,5,1,4,4,44
124292,0,,,,,,,,,,
124487,36,50,28,6,3,3,0,0,8,0,61
124681,0,,,,,,,,,,
124706,0,,,,,,,,,,
124937,0,,,,,,,,,,
125028,0,,,,,,,,,,
125037,151,36,11,36,7,6,1,0,4,5,62
125091,0,,,,,,,,,,
125170,0,,,,,,,,,,
125231,42336,37,40,4,4,3,0,0,2,11,79
125310,0,,,,,,,,,,
125462,0,,,,,,,,,,
125471,0,,,,,,,,,,
125499,0,,,,,,,,,,
125532,0,,,,,,,,,,
125718,127,49,0,9,21,20,2,0,4,3,8
125727,0,,,,,,,,,,
125763,120,22,6,49,8,8,0,1,4,5,66
125897,114,53,5,13,8,7,1,0,1,0,55
126012,483,66,3,5,12,12,0,1,8,0,76
126030,419,37,6,36,13,13,0,2,4,0,53
126049,377,39,17,28,12,12,0,2,0,0,55
126076,0,,,,,,,,,,
126119,0,,,,,,,,,,
126164,0,,,,,,,,,,
126182,1113,69,4,14,1,1,0,1,2,8,68
126207,0,,,,,,,,,,
126289,0,,,,,,,,,,
126359,0,,,,,,,,,,
126562,9202,62,3,10,7,7,0,0,3,8,62
126580,2172,67,4,12,4,4,0,0,5,4,59
126605,0,,,,,,,,,,
126614,6522,60,1,8,4,4,0,0,3,4,44
126669,948,68,12,11,2,1,0,0,4,3,73
126678,30,80,0,3,3,3,0,0,0,10,90
126687,0,,,,,,,,,,
126711,0,,,,,,,,,,
126748,0,,,,,,,,,,
126775,1373,58,1,6,3,3,0,0,3,2,31
126784,0,,,,,,,,,,
126818,7516,65,2,7,3,3,0,0,3,5,55
126827,3692,32,30,2,4,4,0,1,4,26,57
126863,0,,,,,,,,,,
126872,0,,,,,,,,,,
126915,0,,,,,,,,,,
126942,0,,,,,,,,,,
126951,0,,,,,,,,,,
126979,885,73,7,4,5,5,0,0,10,1,45
127060,6151,63,5,11,3,3,0,0,3,7,62
127158,0,,,,,,,,,,
127185,47,40,0,6,0,0,0,38,6,9,70
127200,0,,,,,,,,,,
127273,263,80,6,6,2,2,0,3,1,0,59
127316,0,,,,,,,,,,
127389,0,,,,,,,,,,
127556,127,83,1,6,2,2,0,1,2,4,62
127565,755,65,6,16,3,3,0,0,4,5,77
127617,0,,,,,,,,,,
127653,534,71,2,11,2,2,0,1,5,4,75
127714,0,,,,,,,,,,
127732,0,,,,,,,,,,
127741,3205,74,2,9,2,2,0,0,3,4,77
127778,0,,,,,,,,,,
127787,0,,,,,,,,,,
127820,0,,,,,,,,,,
127884,0,,,,,,,,,,
127909,62,74,2,11,8,6,2,2,0,3,60
127918,3946,60,6,13,5,5,0,0,3,8,65
127945,0,,,,,,,,,,
127954,46,87,0,9,2,2,0,2,0,0,91
128106,2351,39,1,7,1,1,0,0,1,51,80
128151,0,,,,,,,,,,
128179,0,,,,,,,,,,
128188,0,,,,,,,,,,
128258,0,,,,,,,,,,
128328,0,,,,,,,,,,
128337,0,,,,,,,,,,
128391,428,69,1,7,0,0,0,0,3,18,64
128498,340,36,36,11,2,2,0,0,1,11,79
128577,0,,,,,,,,,,
128586,0,,,,,,,,,,
128674,0,,,,,,,,,,
128744,2070,50,13,6,5,5,0,0,1,0,61
128771,2276,71,9,11,4,3,0,0,2,2,64
128780,92,65,24,7,2,2,0,0,1,1,63
128896,0,,,,,,,,,,
128902,0,,,,,,,,,,
129002,0,,,,,,,,,,
129020,8279,50,6,6,7,7,0,0,2,6,53
129154,67,54,15,22,4,4,0,3,1,0,75
129181,0,,,,,,,,,,
129215,195,75,3,11,3,3,0,0,2,4,67
129242,1096,73,5,9,3,3,0,0,1,2,69
129349,0,,,,,,,,,,
129367,0,,,,,,,,,,
129428,67,85,1,4,4,4,0,1,1,1,10
129482,0,,,,,,,,,,
129491,138,52,16,2,7,7,0,1,3,7,57
129525,1770,65,7,9,5,5,0,0,2,5,60
129534,380,62,1,10,4,4,0,0,1,2,32
129543,0,,,,,,,,,,
129695,0,,,,,,,,,,
129729,0,,,,,,,,,,
129756,0,,,,,,,,,,
129774,0,,,,,,,,,,
129808,0,,,,,,,,,,
129923,0,,,,,,,,,,
129932,0,,,,,,,,,,
