SchoolID,TotalEnrollment,GraduateEnrollment,GraduatePercentWhite,GraduatePercentBlack,GraduatePercentHispanic,GraduatePercentAsian,GraduatePercentIndian,GraduatePercentHawaiian,GraduatePercentMixed,GraduatePercentTwoPlus,GraduatePercentUnknown,GraduatePercentInternational,GraduatePercentWomen,GraduatePercentMen
134608,15104,0,,,,,,,,,,,,
134714,191,0,,,,,,,,,,,,
135142,239,0,,,,,,,,,,,,
135160,2837,0,,,,,,,,,,,,
135179,822,0,,,,,,,,,,,,
135188,5064,0,,,,,,,,,,,,
135267,696,0,,,,,,,,,,,,
135276,1461,0,,,,,,,,,,,,
135294,388,0,,,,,,,,,,,,
135337,85,0,,,,,,,,,,,,
135391,8411,0,,,,,,,,,,,,
135407,1117,0,,,,,,,,,,,,
135522,512,0,,,,,,,,,,,,
135559,65,0,,,,,,,,,,,,
135647,730,0,,,,,,,,,,,,
135717,39139,0,,,,,,,,,,,,
135735,2743,0,,,,,,,,,,,,
136109,117,0,,,,,,,,,,,,
136145,1281,0,,,,,,,,,,,,
136233,5160,0,,,,,,,,,,,,
136303,994,0,,,,,,,,,,,,
136358,24369,0,,,,,,,,,,,,
136400,9449,0,,,,,,,,,,,,
136473,8518,0,,,,,,,,,,,,
136491,1018,0,,,,,,,,,,,,
136516,7963,0,,,,,,,,,,,,
136659,410,0,,,,,,,,,,,,
136765,375,0,,,,,,,,,,,,
136774,1722,0,,,,,,,,,,,,
136826,868,0,,,,,,,,,,,,
137023,369,0,,,,,,,,,,,,
137078,23350,0,,,,,,,,,,,,
137087,1421,0,,,,,,,,,,,,
137096,12698,0,,,,,,,,,,,,
137120,1102,0,,,,,,,,,,,,
137209,14104,0,,,,,,,,,,,,
137245,1469,0,,,,,,,,,,,,
137281,7066,0,,,,,,,,,,,,
137315,2976,0,,,,,,,,,,,,
137591,288,0,,,,,,,,,,,,
137713,277,0,,,,,,,,,,,,
137759,11699,0,,,,,,,,,,,,
137856,232,0,,,,,,,,,,,,
137865,464,0,,,,,,,,,,,,
137962,189,0,,,,,,,,,,,,
138187,42524,0,,,,,,,,,,,,
138284,201,0,,,,,,,,,,,,
138309,3034,0,,,,,,,,,,,,
138372,1418,0,,,,,,,,,,,,
138479,850,0,,,,,,,,,,,,
138488,2803,0,,,,,,,,,,,,
138497,275,0,,,,,,,,,,,,
138558,3768,0,,,,,,,,,,,,
138655,529,0,,,,,,,,,,,,
138664,113,0,,,,,,,,,,,,
138682,2761,0,,,,,,,,,,,,
138761,294,0,,,,,,,,,,,,
138822,586,0,,,,,,,,,,,,
138840,3493,0,,,,,,,,,,,,
138901,1551,0,,,,,,,,,,,,
138938,319,0,,,,,,,,,,,,
138956,4118,0,,,,,,,,,,,,
139250,3189,0,,,,,,,,,,,,
139278,6722,0,,,,,,,,,,,,
139357,3153,0,,,,,,,,,,,,
139384,6742,0,,,,,,,,,,,,
139463,4902,0,,,,,,,,,,,,
139506,54,0,,,,,,,,,,,,
139621,1756,0,,,,,,,,,,,,
139700,4955,0,,,,,,,,,,,,
139746,60,0,,,,,,,,,,,,
139968,3129,0,,,,,,,,,,,,
139986,5804,0,,,,,,,,,,,,
139995,451,0,,,,,,,,,,,,
140003,132,0,,,,,,,,,,,,
140012,9726,0,,,,,,,,,,,,
140243,6145,0,,,,,,,,,,,,
140331,9842,0,,,,,,,,,,,,
140553,2738,0,,,,,,,,,,,,
140571,343,0,,,,,,,,,,,,
140678,2696,0,,,,,,,,,,,,
140720,344,0,,,,,,,,,,,,
140827,74,0,,,,,,,,,,,,
140942,3581,0,,,,,,,,,,,,
141006,1725,0,,,,,,,,,,,,
141060,3633,0,,,,,,,,,,,,
141255,4380,0,,,,,,,,,,,,
141608,70,0,,,,,,,,,,,,
141680,3204,0,,,,,,,,,,,,
141796,5822,0,,,,,,,,,,,,
141802,1298,0,,,,,,,,,,,,
141811,6059,0,,,,,,,,,,,,
141839,2647,0,,,,,,,,,,,,
141981,2863,0,,,,,,,,,,,,
141990,2743,0,,,,,,,,,,,,
142054,433,0,,,,,,,,,,,,
142090,103,0,,,,,,,,,,,,
142179,2565,0,,,,,,,,,,,,
142407,93,0,,,,,,,,,,,,
142443,3979,0,,,,,,,,,,,,
142489,69,0,,,,,,,,,,,,
142522,42996,0,,,,,,,,,,,,
142559,8775,0,,,,,,,,,,,,
142887,90,0,,,,,,,,,,,,
143215,7955,0,,,,,,,,,,,,
143279,3853,0,,,,,,,,,,,,
143288,389,0,,,,,,,,,,,,
143376,253,0,,,,,,,,,,,,
143464,87,0,,,,,,,,,,,,
143473,43,0,,,,,,,,,,,,
143482,8,0,,,,,,,,,,,,
143491,60,0,,,,,,,,,,,,
143552,32,0,,,,,,,,,,,,
143613,1688,0,,,,,,,,,,,,
144157,2780,0,,,,,,,,,,,,
144166,8011,0,,,,,,,,,,,,
144175,2747,0,,,,,,,,,,,,
144184,6185,0,,,,,,,,,,,,
144193,5836,0,,,,,,,,,,,,
144209,5859,0,,,,,,,,,,,,
144218,7789,0,,,,,,,,,,,,
144564,2149,0,,,,,,,,,,,,
144573,171,0,,,,,,,,,,,,
144795,377,0,,,,,,,,,,,,
144865,23216,0,,,,,,,,,,,,
144883,528,0,,,,,,,,,,,,
144944,9614,0,,,,,,,,,,,,
144971,527,0,,,,,,,,,,,,
145099,274,0,,,,,,,,,,,,
145239,239,0,,,,,,,,,,,,
145309,42,0,,,,,,,,,,,,
145354,36,0,,,,,,,,,,,,
145406,494,0,,,,,,,,,,,,
145424,65,0,,,,,,,,,,,,
145433,121,0,,,,,,,,,,,,
145497,197,0,,,,,,,,,,,,
145521,1369,0,,,,,,,,,,,,
145646,1576,0,,,,,,,,,,,,
145682,7578,0,,,,,,,,,,,,
145707,880,0,,,,,,,,,,,,
145831,2594,0,,,,,,,,,,,,
146205,3120,0,,,,,,,,,,,,
146278,1866,0,,,,,,,,,,,,
146296,9863,0,,,,,,,,,,,,
146348,2404,0,,,,,,,,,,,,
146366,3447,0,,,,,,,,,,,,
146418,2807,0,,,,,,,,,,,,
146427,1001,0,,,,,,,,,,,,
146454,60,0,,,,,,,,,,,,
146472,12290,0,,,,,,,,,,,,
146506,3699,0,,,,,,,,,,,,
146533,81,0,,,,,,,,,,,,
146603,4196,0,,,,,,,,,,,,
146685,5238,0,,,,,,,,,,,,
146700,1345,0,,,,,,,,,,,,
146807,68,0,,,,,,,,,,,,
146816,317,0,,,,,,,,,,,,
147004,9051,0,,,,,,,,,,,,
147341,727,0,,,,,,,,,,,,
147378,11144,0,,,,,,,,,,,,
147396,54,0,,,,,,,,,,,,
147411,3653,0,,,,,,,,,,,,
147642,55,0,,,,,,,,,,,,
147800,7032,0,,,,,,,,,,,,
147819,67,0,,,,,,,,,,,,
147916,6018,0,,,,,,,,,,,,
148007,3045,0,,,,,,,,,,,,
148016,338,0,,,,,,,,,,,,
148098,58,0,,,,,,,,,,,,
148256,1871,0,,,,,,,,,,,,
148292,2214,0,,,,,,,,,,,,
148380,5480,0,,,,,,,,,,,,
148672,1433,0,,,,,,,,,,,,
148821,1142,0,,,,,,,,,,,,
148876,774,0,,,,,,,,,,,,
148937,1392,0,,,,,,,,,,,,
148955,2,0,,,,,,,,,,,,
148991,1225,0,,,,,,,,,,,,
149204,57,0,,,,,,,,,,,,
149310,172,0,,,,,,,,,,,,
149365,3873,0,,,,,,,,,,,,
149532,9262,0,,,,,,,,,,,,
149550,165,0,,,,,,,,,,,,
149727,8324,0,,,,,,,,,,,,
149842,13069,0,,,,,,,,,,,,
150251,191,0,,,,,,,,,,,,
150303,317,0,,,,,,,,,,,,
150400,1819,0,,,,,,,,,,,,
150428,30,0,,,,,,,,,,,,
150765,94,0,,,,,,,,,,,,
150774,547,0,,,,,,,,,,,,
150853,222,0,,,,,,,,,,,,
150987,100077,0,,,,,,,,,,,,
151467,145,0,,,,,,,,,,,,
151564,45,0,,,,,,,,,,,,
151607,87,0,,,,,,,,,,,,
151661,1004,0,,,,,,,,,,,,
151962,337,0,,,,,,,,,,,,
152044,85,0,,,,,,,,,,,,
152150,71,0,,,,,,,,,,,,
152275,114,0,,,,,,,,,,,,
152309,101,0,,,,,,,,,,,,
152497,131,0,,,,,,,,,,,,
152628,34,0,,,,,,,,,,,,
152637,18438,0,,,,,,,,,,,,
152673,845,0,,,,,,,,,,,,
153074,153,0,,,,,,,,,,,,
153083,128,0,,,,,,,,,,,,
153108,1095,0,,,,,,,,,,,,
153144,1278,0,,,,,,,,,,,,
153214,24418,0,,,,,,,,,,,,
153241,61,0,,,,,,,,,,,,
153296,685,0,,,,,,,,,,,,
153302,197,0,,,,,,,,,,,,
153311,7128,0,,,,,,,,,,,,
153384,1775,0,,,,,,,,,,,,
153427,73,0,,,,,,,,,,,,
153445,4796,0,,,,,,,,,,,,
153463,27,0,,,,,,,,,,,,
153472,3236,0,,,,,,,,,,,,
153524,4909,0,,,,,,,,,,,,
153533,2024,0,,,,,,,,,,,,
153542,16,0,,,,,,,,,,,,
153597,74,0,,,,,,,,,,,,
153630,5503,0,,,,,,,,,,,,
153737,12660,0,,,,,,,,,,,,
153746,40,0,,,,,,,,,,,,
153764,113,0,,,,,,,,,,,,
153773,56,0,,,,,,,,,,,,
153782,20,0,,,,,,,,,,,,
153834,1463,0,,,,,,,,,,,,
153922,1870,0,,,,,,,,,,,,
154059,2471,0,,,,,,,,,,,,
154110,4378,0,,,,,,,,,,,,
154129,1792,0,,,,,,,,,,,,
154208,170,0,,,,,,,,,,,,
154262,196,0,,,,,,,,,,,,
154332,123,0,,,,,,,,,,,,
154378,2562,0,,,,,,,,,,,,
154396,1633,0,,,,,,,,,,,,
154448,142,0,,,,,,,,,,,,
154457,40,0,,,,,,,,,,,,
154466,50,0,,,,,,,,,,,,
154545,101,0,,,,,,,,,,,,
154572,5071,0,,,,,,,,,,,,
154642,1817,0,,,,,,,,,,,,
154697,4393,0,,,,,,,,,,,,
154721,637,0,,,,,,,,,,,,
154749,502,0,,,,,,,,,,,,
154800,6552,0,,,,,,,,,,,,
154907,1644,0,,,,,,,,,,,,
154925,1428,0,,,,,,,,,,,,
154934,1375,0,,,,,,,,,,,,
154952,2158,0,,,,,,,,,,,,
154998,1757,0,,,,,,,,,,,,
155007,349,0,,,,,,,,,,,,
155052,1639,0,,,,,,,,,,,,
155098,1464,0,,,,,,,,,,,,
155104,1904,0,,,,,,,,,,,,
155140,878,0,,,,,,,,,,,,
155159,74,0,,,,,,,,,,,,
